Symbol,Company_name,Sector,Sub_industry,Indices,Country
GPOR,Great Portland Estates,,,ftse250,UK
UKW,Greencoat UK Wind,,,ftse250,UK
GNC,Greencore,,,ftse250,UK
GRG,Greggs,,,ftse250,UK
HMSO,Hammerson,,,ftse250,UK
HBR,Harbour Energy,,,ftse250,UK
HVPE,HarbourVest Global Private Equity,,,ftse250,UK
HAS,Hays,,,ftse250,UK
HTWS,Helios Towers,,,ftse250,UK
HSL,Henderson Smaller Companies Investment Trust,,,ftse250,UK
HRI,Herald Investment Trust,,,ftse250,UK
HGT,Hg Capital Trust,,,ftse250,UK
HICL,HICL Infrastructure Company,,,ftse250,UK
HILS,Hill & Smith,,,ftse250,UK
HFG,Hilton Food Group,,,ftse250,UK
SONG,Hipgnosis Songs Fund,,,ftse250,UK
HSX,Hiscox,,,ftse250,UK
HOC,Hochschild Mining,,,ftse250,UK
HSV,Homeserve,,,ftse250,UK
HWDN,Howden Joinery,,,ftse250,UK
IBST,Ibstock,,,ftse250,UK
ICGT,ICG Enterprise Trust,,,ftse250,UK
IGG,IG Group Holdings,,,ftse250,UK
IMI,IMI,,,ftse250,UK
IEM,Impax Environmental Markets,,,ftse250,UK
INCH,Inchcape,,,ftse250,UK
INDV,Indivior,,,ftse250,UK
IHP,IntegraFin Holdings,,,ftse250,UK
INPP,International Public Partnerships,,,ftse250,UK
INVP,Investec,,,ftse250,UK
IPO,IP Group,,,ftse250,UK
IWG,IWG,,,ftse250,UK
JAM,JPMorgan American Investment Trust,,,ftse250,UK
JMG,JPMorgan Emerging Markets Investment Trust,,,ftse250,UK
JESC,JPMorgan European Smaller Companies Trust,,,ftse250,UK
JFJ,JPMorgan Japanese Investment Trust,,,ftse250,UK
JTC,JTC,,,ftse250,UK
JUP,Jupiter Fund Management,,,ftse250,UK
JUST,Just Group,,,ftse250,UK
KNOS,Kainos,,,ftse250,UK
LRE,Lancashire Holdings,,,ftse250,UK
LWDB,Law Debenture,,,ftse250,UK
LIO,Liontrust Asset Management,,,ftse250,UK
LMP,LondonMetric Property,,,ftse250,UK
LXI,LXi REIT,,,ftse250,UK
EMG,Man Group,,,ftse250,UK
MKS,Marks & Spencer Group,,,ftse250,UK
MSLH,Marshalls,,,ftse250,UK
MDC,Mediclinic International,,,ftse250,UK
MRC,Mercantile Investment Trust,,,ftse250,UK
MCRO,Micro Focus International,,,ftse250,UK
MAB,Mitchells & Butlers,,,ftse250,UK
MTO,Mitie,,,ftse250,UK
MONY,Moneysupermarket.com Group,,,ftse250,UK
MNKS,Monks Investment Trust,,,ftse250,UK
MOON,Moonpig,,,ftse250,UK
MGAM,Morgan Advanced Materials,,,ftse250,UK
MGNS,Morgan Sindall Group,,,ftse250,UK
MUT,Murray Income Trust,,,ftse250,UK
MYI,Murray International Trust,,,ftse250,UK
NEX,National Express Group,,,ftse250,UK
NETW,Network International,,,ftse250,UK
NCC,NCC Group,,,ftse250,UK
N91,Ninety One,,,ftse250,UK
OSB,OneSavings Bank,,,ftse250,UK
OXB,Oxford BioMedica,,,ftse250,UK
OXIG,Oxford Instruments,,,ftse250,UK
PAGE,PageGroup,,,ftse250,UK
PIN,Pantheon International,,,ftse250,UK
PAG,Paragon Banking Group,,,ftse250,UK
PNN,Pennon Group,,,ftse250,UK
PNL,Personal Assets Trust,,,ftse250,UK
POG,Petropavlovsk,,,ftse250,UK
PETS,Pets at Home,,,ftse250,UK
PTEC,Playtech,,,ftse250,UK
PLUS,Plus500,,,ftse250,UK
PCT,Polar Capital Technology Trust,,,ftse250,UK
PFD,Premier Foods,,,ftse250,UK
PHP,Primary Health Properties,,,ftse250,UK
PRTC,PureTech Health,,,ftse250,UK
PZC,PZ Cussons,,,ftse250,UK
QQ.,QinetiQ,,,ftse250,UK
QLT,Quilter,,,ftse250,UK
RNK,Rank Group,,,ftse250,UK
RAT,Rathbone Brothers,,,ftse250,UK
RCH,Reach,,,ftse250,UK
REDD,Redde Northgate,,,ftse250,UK
RDW,Redrow,,,ftse250,UK
RSW,Renishaw,,,ftse250,UK
RTN,Restaurant Group,,,ftse250,UK
RHIM,RHI Magnesita,,,ftse250,UK
RCP,RIT Capital Partners,,,ftse250,UK
ROR,Rotork,,,ftse250,UK
SAFE,Safestore,,,ftse250,UK
SNN,Sanne Group,,,ftse250,UK
SVS,Savills,,,ftse250,UK
SDP,Schroder AsiaPacific Fund,,,ftse250,UK
SOI,Schroder Oriental Income Fund,,,ftse250,UK
SAIN,Scottish American Investment Company,,,ftse250,UK
SEIT,SDCL Energy Efficiency Income Trust,,,ftse250,UK
SEQI,Sequoia Economic Infrastructure Income Fund,,,ftse250,UK
SRP,Serco,,,ftse250,UK
SHB,Shaftesbury,,,ftse250,UK
SRE,Sirius Real Estate,,,ftse250,UK
SSON,Smithson Investment Trust,,,ftse250,UK
SCT,Softcat,,,ftse250,UK
SXS,Spectris,,,ftse250,UK
SPI,Spire Healthcare,,,ftse250,UK
SPT,Spirent,,,ftse250,UK
SSPG,SSP Group,,,ftse250,UK
SYNC,Syncona,,,ftse250,UK
SYNT,Synthomer,,,ftse250,UK
TATE,Tate & Lyle,,,ftse250,UK
TEP,Telecom Plus,,,ftse250,UK
TEM,Templeton Emerging Markets Investment Trust,,,ftse250,UK
TRIG,The Renewables Infrastructure Group,,,ftse250,UK
TIFS,TI Fluid Systems,,,ftse250,UK
TCAP,TP ICAP,,,ftse250,UK
TRN,Trainline,,,ftse250,UK
TPK,Travis Perkins,,,ftse250,UK
BBOX,Tritax Big Box REIT,,,ftse250,UK
EBOX,Tritax EuroBox,,,ftse250,UK
TRY,TR Property Investment Trust,,,ftse250,UK
TRST,Trustpilot,,,ftse250,UK
TUI,TUI AG,,,ftse250,UK
TYMN,Tyman,,,ftse250,UK
UKCM,UK Commercial Property Trust,,,ftse250,UK
ULE,Ultra Electronics Holdings,,,ftse250,UK
UTG,Unite Group,,,ftse250,UK
VSVS,Vesuvius,,,ftse250,UK
VCT,Victrex,,,ftse250,UK
VEIL,Vietnam Enterprise Investments,,,ftse250,UK
VOF,VinaCapital Vietnam Opportunity Fund,,,ftse250,UK
VMUK,Virgin Money UK,,,ftse250,UK
VTY,Vistry Group,,,ftse250,UK
VVO,Vivo Energy,,,ftse250,UK
FAN,Volution Group,,,ftse250,UK
WOSG,Watches of Switzerland,,,ftse250,UK
WEIR,Weir Group,,,ftse250,UK
JDW,Wetherspoon (J D),,,ftse250,UK
SMWH,W H Smith,,,ftse250,UK
WTAN,Witan Investment Trust,,,ftse250,UK
WIZZ,Wizz Air,,,ftse250,UK
WG.,Wood Group,,,ftse250,UK
WKP,Workspace Group,,,ftse250,UK
WWH,Worldwide Healthcare Trust,,,ftse250,UK
XPP,XP Power,,,ftse250,UK
