Symbol,Name,Market Cap,Price,Circulating Supply,Cryptocurrency
ENRG,Energycoin,"$15,540,397",$0.128038,121373321,coin
MUE,MonetaryUnit,"$15,429,959",$0.120490,128060078,coin
ECN,E-coin,"$15,354,298",$3.42,4487186,coin
GOLOS,Golos,"$15,212,224",$0.122168,124518891,coin
DBIX,DubaiCoin,"$15,031,327",$10.23,1468850,coin
SLR,SolarCoin,"$14,969,835",$0.402070,37231911,coin
XVC,Vcash,"$14,770,912",$0.968302,15254447,coin
BTX,Bitcore,"$13,777,999",$11.52,1195602,coin
OMNI,Omni,"$13,487,358",$24.08,560083,coin
CLAM,Clams,"$13,432,243",$4.96,2705773,coin
FLO,FlorinCoin,"$13,052,131",$0.093473,139635009,coin
RADS,Radium,"$12,989,572",$3.84,3384825,coin
XSPEC,Spectrecoin,"$12,963,270",$0.623676,20785264,coin
SHIFT,Shift,"$12,940,299",$1.14,11384895,coin
BURST,Burst,"$12,611,272",$0.007005,1800339818,coin
XAS,Asch,"$12,440,722",$0.611921,20330601,coin
XWC,WhiteCoin,"$12,325,311",$0.049605,248469617,coin
TX,TransferCoin,"$12,300,259",$1.99,6195699,coin
BSD,BitSend,"$11,698,076",$0.683938,17104000,coin
LMC,LoMoCoin,"$10,723,282",$0.048886,219352818,coin
SPHR,Sphere,"$10,195,715",$3.31,3082940,coin
NVC,Novacoin,"$10,146,001",$5.36,1893568,coin
UNO,Unobtanium,"$10,049,349",$50.80,197839,coin
CRDNC,Credence Coin,"$9,839,223",$2.97,3312490,coin
VOX,Voxels,"$9,794,232",$0.046639,210000000,coin
CNT,Centurion,"$9,731,933",$0.132946,73202146,coin
PZM,PRIZM,"$9,476,305",$0.960029,9870853,coin
CSC,CasinoCoin,"$9,245,332",$0.239509,38601187,coin
NEOS,NeosCoin,"$9,225,818",$2.59,3561666,coin
BTDX,Bitcloud,"$8,929,536",$0.606524,14722477,coin
GAM,Gambit,"$8,750,343",$7.31,1197137,coin
CMP,Compcoin,"$8,726,412",$2.02,4316160,coin
